
> calculator-client@0.0.0 dev
> vite --host


  VITE v5.4.21  ready in 358 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: http://192.168.1.246:5173/
  ➜  Network: http://192.168.180.11:5173/
8:44:06 PM [vite] hmr update /src/App.vue
8:45:11 PM [vite] hmr update /src/App.vue
8:45:19 PM [vite] hmr update /src/App.vue
8:45:29 PM [vite] hmr update /src/App.vue
8:45:45 PM [vite] hmr update /src/App.vue
8:46:39 PM [vite] hmr update /src/style.css
8:46:40 PM [vite] hmr update /src/style.css
8:46:43 PM [vite] hmr update /src/style.css
8:46:47 PM [vite] hmr update /src/style.css
8:46:53 PM [vite] hmr update /src/style.css
8:47:05 PM [vite] hmr update /src/style.css
8:47:16 PM [vite] hmr update /src/style.css
8:47:24 PM [vite] hmr update /src/style.css
8:47:27 PM [vite] hmr update /src/style.css
8:47:33 PM [vite] hmr update /src/style.css
8:47:36 PM [vite] hmr update /src/style.css
8:48:00 PM [vite] hmr update /src/style.css
8:48:08 PM [vite] hmr update /src/style.css
8:48:19 PM [vite] hmr update /src/style.css
8:48:25 PM [vite] hmr update /src/style.css
8:48:44 PM [vite] hmr update /src/style.css
8:48:47 PM [vite] hmr update /src/style.css
8:49:05 PM [vite] hmr update /src/style.css
8:49:10 PM [vite] hmr update /src/style.css
8:49:18 PM [vite] hmr update /src/style.css
8:49:20 PM [vite] hmr update /src/style.css
8:49:48 PM [vite] hmr update /src/style.css
8:49:53 PM [vite] hmr update /src/style.css
10:20:28 PM [vite] hmr update /src/style.css
10:21:56 PM [vite] hmr update /src/style.css
